url
https://www.amazon.com.br/Rockstar-Games-TT000193PS4-Dead-Redemption/dp/B07GT6FMDK/ref=sr_1_2?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-2&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
https://www.amazon.com.br/Grand-Theft-Auto-Premium-Playstation/dp/B07D99JGM7/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-3
https://www.amazon.com.br/Last-Us-Remasterizado-PlayStation/dp/B07L5BPDV7/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-4
https://www.amazon.com.br/Warner-Bros-Entertainment-Inc-Hogwarts/dp/B0BNW3WTCT/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-5&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12
https://www.amazon.com.br/God-War-Hits-PlayStation-4/dp/B07YT1GLV9/ref=sr_1_9?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-9
https://www.amazon.com.br/Elden-Ring-Padr%C3%A3o-Playstation-4/dp/B07T8XCPSP/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-11&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74
https://www.amazon.com.br/Horizon-Forbidden-West-Edi%C3%A7%C3%A3o-Padr%C3%A3o/dp/B09FTLKBGX/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-12&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
https://www.amazon.com.br/Resident-Evil-4-PlayStation/dp/B0BWPTGVTW/ref=sr_1_14?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3SGABFUPX9UD8&keywords=jogos+ps4&qid=1684177333&sprefix=jogos+ps4%2Caps%2C260&sr=8-14&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12
